Time,kernel.all.cpu.sys,kernel.all.load["1 minute"],network.tcp.retranssegs,network.interface.out.bytes["eth0"],network.interface.in.bytes["eth0"],mem.util.used,mem.util.free,mem.util.cached,disk.dev.read["sda"],disk.dev.write["sda"]
none,millisec / second,none,count / second,byte / second,byte / second,Kbyte,Kbyte,Kbyte,count / second,count / second
Mon Mar  7 02:02:34,20.000,0.000,0.000,19798977.000,201617.000,921680.000,816316.000,646656.000,0.000,2.000
Mon Mar  7 02:02:35,20.000,0.000,0.000,19798977.000,201618.000,921680.000,816316.000,646656.000,0.000,3.000
Mon Mar  7 02:02:36,20.000,0.000,0.000,19798978.000,201617.000,921680.000,816316.000,646656.000,0.000,2.000
Mon Mar  7 02:02:37,20.000,0.000,0.000,19798977.000,201617.000,921680.000,816316.000,646656.000,0.000,2.000
Mon Mar  7 02:02:38,20.000,0.000,0.000,19798977.000,201617.000,921680.000,816316.000,646656.000,0.000,3.000
Mon Mar  7 02:02:39,20.000,0.000,0.000,19798977.000,201618.000,921680.000,816316.000,646656.000,0.000,2.000
Mon Mar  7 02:02:40,20.000,0.000,0.000,19798977.000,201617.000,921680.000,816316.000,646656.000,0.000,3.000
Mon Mar  7 02:02:41,20.000,0.000,0.000,19798977.000,201617.000,921680.000,816316.000,646656.000,0.000,2.000
Mon Mar  7 02:02:42,20.000,0.000,0.000,19798978.000,201617.000,921680.000,816316.000,646656.000,0.000,2.000
Mon Mar  7 02:02:43,17.000,0.000,0.000,17144977.000,177087.000,921680.000,816316.000,646672.000,0.000,1.000
Mon Mar  7 02:02:44,16.000,0.000,0.000,16080777.000,167250.000,921680.000,816316.000,646672.000,0.000,1.000
Mon Mar  7 02:02:45,16.000,0.000,0.000,16080777.000,167250.000,921680.000,816316.000,646672.000,0.000,1.000
Mon Mar  7 02:02:46,16.000,0.000,0.000,16080777.000,167250.000,921680.000,816316.000,646672.000,0.000,0.000
Mon Mar  7 02:02:47,16.000,0.000,0.000,16080777.000,167250.000,921680.000,816316.000,646672.000,0.000,1.000
Mon Mar  7 02:02:48,16.000,0.000,0.000,16080777.000,167251.000,921680.000,816316.000,646672.000,0.000,0.000
Mon Mar  7 02:02:49,16.000,0.000,0.000,16080777.000,167250.000,921680.000,816316.000,646672.000,0.000,1.000
Mon Mar  7 02:02:50,16.000,0.000,0.000,16080777.000,167250.000,921680.000,816316.000,646672.000,0.000,1.000
Mon Mar  7 02:02:51,16.000,0.000,0.000,16080777.000,167250.000,921680.000,816316.000,646672.000,0.000,0.000
Mon Mar  7 02:02:52,16.000,0.000,0.000,16080777.000,167250.000,921680.000,816316.000,646672.000,0.000,1.000
Mon Mar  7 02:02:53,16.000,0.000,0.000,13591211.000,146962.000,921680.000,816316.000,646676.000,0.000,1.000
Mon Mar  7 02:02:54,16.000,0.000,0.000,12595383.000,138847.000,921680.000,816316.000,646676.000,0.000,1.000
Mon Mar  7 02:02:55,16.000,0.000,0.000,12595382.000,138846.000,921680.000,816316.000,646676.000,0.000,0.000
Mon Mar  7 02:02:56,16.000,0.000,0.000,12595382.000,138847.000,921680.000,816316.000,646676.000,0.000,1.000
Mon Mar  7 02:02:57,16.000,0.000,0.000,12595382.000,138846.000,921680.000,816316.000,646676.000,0.000,1.000
Mon Mar  7 02:02:58,16.000,0.000,0.000,12595382.000,138847.000,921680.000,816316.000,646676.000,0.000,1.000
Mon Mar  7 02:02:59,16.000,0.000,0.000,12595382.000,138846.000,921680.000,816316.000,646676.000,0.000,1.000
Mon Mar  7 02:03:00,16.000,0.000,0.000,12595382.000,138847.000,921680.000,816316.000,646676.000,0.000,1.000
Mon Mar  7 02:03:01,16.000,0.000,0.000,12595382.000,138846.000,921680.000,816316.000,646676.000,0.000,1.000
Mon Mar  7 02:03:02,16.000,0.000,0.000,12595382.000,138847.000,921680.000,816316.000,646676.000,0.000,1.000
Mon Mar  7 02:03:03,16.000,0.000,0.000,16004952.000,171417.000,921680.000,816316.000,646684.000,0.000,0.000
Mon Mar  7 02:03:04,16.000,0.000,0.000,17369493.000,184453.000,921680.000,816316.000,646684.000,0.000,1.000
Mon Mar  7 02:03:05,16.000,0.000,0.000,17369493.000,184453.000,921680.000,816316.000,646684.000,0.000,0.000
Mon Mar  7 02:03:06,16.000,0.000,0.000,17369492.000,184452.000,921680.000,816316.000,646684.000,0.000,0.000
Mon Mar  7 02:03:07,16.000,0.000,0.000,17369493.000,184453.000,921680.000,816316.000,646684.000,0.000,1.000
Mon Mar  7 02:03:08,16.000,0.000,0.000,17369493.000,184453.000,921680.000,816316.000,646684.000,0.000,0.000
Mon Mar  7 02:03:09,16.000,0.000,0.000,17369493.000,184452.000,921680.000,816316.000,646684.000,0.000,1.000
Mon Mar  7 02:03:10,16.000,0.000,0.000,17369493.000,184453.000,921680.000,816316.000,646684.000,0.000,0.000
Mon Mar  7 02:03:11,16.000,0.000,0.000,17369493.000,184452.000,921680.000,816316.000,646684.000,0.000,0.000
Mon Mar  7 02:03:12,16.000,0.000,0.000,17369492.000,184453.000,921680.000,816316.000,646684.000,0.000,1.000
Mon Mar  7 02:03:13,14.000,0.000,0.000,16984603.000,182965.000,919536.000,818460.000,646696.000,0.000,0.000
Mon Mar  7 02:03:14,13.000,0.000,0.000,16868084.000,182777.000,919536.000,818460.000,646696.000,0.000,1.000
Mon Mar  7 02:03:15,13.000,0.000,0.000,16868084.000,182777.000,919536.000,818460.000,646696.000,0.000,0.000
Mon Mar  7 02:03:16,13.000,0.000,0.000,16868084.000,182777.000,919536.000,818460.000,646696.000,0.000,0.000
Mon Mar  7 02:03:17,13.000,0.000,0.000,16868084.000,182777.000,919536.000,818460.000,646696.000,0.000,1.000
Mon Mar  7 02:03:18,13.000,0.000,0.000,16868084.000,182777.000,919536.000,818460.000,646696.000,0.000,0.000
Mon Mar  7 02:03:19,13.000,0.000,0.000,16868084.000,182777.000,919536.000,818460.000,646696.000,0.000,1.000
Mon Mar  7 02:03:20,13.000,0.000,0.000,16868084.000,182777.000,919536.000,818460.000,646696.000,0.000,0.000
Mon Mar  7 02:03:21,13.000,0.000,0.000,16868084.000,182777.000,919536.000,818460.000,646696.000,0.000,0.000
Mon Mar  7 02:03:22,13.000,0.000,0.000,16868084.000,182777.000,919536.000,818460.000,646696.000,0.000,1.000
Mon Mar  7 02:03:23,14.000,0.000,0.000,13091716.000,145198.000,919536.000,818460.000,646716.000,0.000,1.000
Mon Mar  7 02:03:24,14.000,0.000,0.000,11580105.000,130157.000,919536.000,818460.000,646716.000,0.000,2.000
Mon Mar  7 02:03:25,14.000,0.000,0.000,11580105.000,130157.000,919536.000,818460.000,646716.000,0.000,1.000
Mon Mar  7 02:03:26,14.000,0.000,0.000,11580106.000,130156.000,919536.000,818460.000,646716.000,0.000,2.000
Mon Mar  7 02:03:27,14.000,0.000,0.000,11580105.000,130157.000,919536.000,818460.000,646716.000,0.000,2.000
Mon Mar  7 02:03:28,14.000,0.000,0.000,11580105.000,130156.000,919536.000,818460.000,646716.000,0.000,1.000
Mon Mar  7 02:03:29,14.000,0.000,0.000,11580105.000,130157.000,919536.000,818460.000,646716.000,0.000,2.000
Mon Mar  7 02:03:30,14.000,0.000,0.000,11580105.000,130157.000,919536.000,818460.000,646716.000,0.000,1.000
Mon Mar  7 02:03:31,14.000,0.000,0.000,11580105.000,130156.000,919536.000,818460.000,646716.000,0.000,2.000
Mon Mar  7 02:03:32,14.000,0.000,0.000,11580105.000,130157.000,919536.000,818460.000,646716.000,0.000,2.000
Mon Mar  7 02:03:33,18.000,0.000,0.000,20620707.000,217320.000,919536.000,818460.000,646724.000,0.000,0.000
Mon Mar  7 02:03:34,20.000,0.000,1.000,24237829.000,252194.000,919536.000,818460.000,646724.000,0.000,1.000
Mon Mar  7 02:03:35,20.000,0.000,0.000,24237829.000,252194.000,919536.000,818460.000,646724.000,0.000,1.000
Mon Mar  7 02:03:36,20.000,0.000,1.000,24237830.000,252194.000,919536.000,818460.000,646724.000,0.000,1.000
Mon Mar  7 02:03:37,20.000,0.000,0.000,24237829.000,252194.000,919536.000,818460.000,646724.000,0.000,0.000
